dimension,cle,libelle,detail,nb_val_jan24
AGE_BEN_SNDS,0,0-19 ANS,,4486325
AGE_BEN_SNDS,20,20 - 29 ANS,,3906559
AGE_BEN_SNDS,40,40 - 49 ANS,,4245408
AGE_BEN_SNDS,50,50 - 59 ANS,,5078316
AGE_BEN_SNDS,60,60 - 69 ANS,,5838162
AGE_BEN_SNDS,70,70 - 79 ANS,,5988758
AGE_BEN_SNDS,80,80 ANS ET +,,5034234
AGE_BEN_SNDS,99,AGE INCONNU,,40558
ASU_NAT,10,MALADIE,,37508138
ASU_NAT,11,"""MALADIE COURS NAVIGATION > 6 MOIS""",,106
ASU_NAT,12,"""MALADIE COURS NAVIGATION < 6 MOIS""",,60
ASU_NAT,22,SOINS AUX INVALIDES DE GUERRE (CNMSS),,7884
ASU_NAT,30,MATERNITE,,516085
ASU_NAT,40,AT ET MP,,621117
ASU_NAT,50,DECES,,401
ASU_NAT,70,PRESTATIONS SUPPLEMENTAIRES,,14251
ASU_NAT,80,INVALIDITE,,2881
ASU_NAT,90,PREVENTION MALADIE,,87252
ASU_NAT,99,VALEUR INCONNUE,,1
ATT_NAT,0,SANS OBJET,,38745854
ATT_NAT,1,ACCIDENT DU TRAVAIL,,5951
ATT_NAT,2,MALADIE PROFESSIONNELLE,,2911
BEN_CMU_TOP,0,Non bénéficiaire de la C2S,Non bénéficiaire de la CMU C,18486160
BEN_CMU_TOP,2,Sans Objet,Sans Objet,44362
BEN_CMU_TOP,9,VALEUR INCONNUE,VALEUR INCONNUE,15826621
BEN_QLT_COD,1,ASSURE,,34726939
BEN_QLT_COD,2,CONJOINT ET ASSIMILE,,627205
BEN_QLT_COD,3,ENFANT,,3383612
BEN_QLT_COD,4,AUTRE AYANT-DROIT,,20413
BEN_QLT_COD,9,VALEUR INCONNUE,,7
BEN_RES_REG,5,Régions et Départements d'outre-mer,,1323081
BEN_RES_REG,11,Ile-de-France,,4723674
BEN_RES_REG,27,Bourgogne-Franche-Comté,,1970244
BEN_RES_REG,28,Normandie,,2153547
BEN_RES_REG,32,Hauts-de-France - Nord-Pas-de-Calais-Picardie,,3033282
BEN_RES_REG,44,Grand Est,,3435837
BEN_RES_REG,52,Pays de la Loire,,2207301
BEN_RES_REG,53,Bretagne,,1982981
BEN_RES_REG,75,Aquitaine-Limousin-Poitou-Charentes,,3139219
BEN_RES_REG,84,Auvergne-Rhône-Alpes,,3437438
BEN_RES_REG,93,Provence-Alpes-Côte d'Azur et Corse,,3392422
BEN_RES_REG,99,Inconnu,,2427121
BEN_SEX_COD,0,INCONNU OU PERSONNE MORALE SANS CIVILITE,,310
BEN_SEX_COD,1,MASCULIN,,17548317
BEN_SEX_COD,2,FEMININ,,21209549
CPL_COD,0,SANS MAJORATION,,37973314
CPL_COD,1,MAJORATION DE NUIT,,143213
CPL_COD,2,MAJORATION DE DIMANCHE ET JOUR FERIE,,639872
CPL_COD,3,MAJORATION D URGENCE,,1777
CPT_ENV_TYP,0,PRESTATIONS NON PRISE EN CHARGE PAR LE RG,,8296
CPT_ENV_TYP,1,SOINS DE VILLE,,18978034
CPT_ENV_TYP,2,HOSPITALISATION ET MEDICO-SOCIALE ET CONSOMMATIONS INTERMEDIAIRES (MEDICAMENTS ET LPP),,1995423
CPT_ENV_TYP,3,PRESTATIONS LEGALES ASSURANCE MALADIE HORS ENV.ONDAM,,22980
CPT_ENV_TYP,4,PREVENTION,,43405
CPT_ENV_TYP,5,FNAS,,4548
CPT_ENV_TYP,7,"C2S, AME ou ACS",,1616049
CPT_ENV_TYP,8,ALSACE MOSELLE,,262820
CPT_ENV_TYP,9,VALEUR INCONNUE,,15826621
DDP_SPE_COD,0,SANS OBJET,,19086319
DDP_SPE_COD,11,MEDECINE GENERALE - PEDIATRIE - URGENCE MEDICALE,,62386
DDP_SPE_COD,12,SPECIALITES MEDICALES,,425
DDP_SPE_COD,13,REANIMATION ET SURVEILLANCE CONTINUE,,23828
DDP_SPE_COD,14,DIALYSE,,23049
DDP_SPE_COD,15,INSUFFISANCE RESPIRATOIRE,,7039
DDP_SPE_COD,16,SCANNER ET IRMN,,104126
DDP_SPE_COD,21,CHIRURGIE GENERALE INFANTILE ET URGENCE CHIRURGICALE,,46472
DDP_SPE_COD,22,SPECIALITES CHIRURGICALES,,331
DDP_SPE_COD,23,REANIMATION ET SURVEILLANCE CONTINUE CHIRURGICALE,,26
DDP_SPE_COD,30,GYNECOLOGIE OBSTETRIQUE IVG STERILITE,,3065
DDP_SPE_COD,42,CONVALESCENCE-REPOS-REGIME CURE MEDICALE (POUR PERSONNES AGEES NOTAMMENT),,59718
DDP_SPE_COD,44,CURES THERMALES,,1619
DDP_SPE_COD,45,POST-CURES (POUR ALCOOLIQUES),,9243
DDP_SPE_COD,46,LUTTE CONTRE LA TUBERCULOSE ET LES MALADIES RESPIRATOIRES,,594
DDP_SPE_COD,47,CURES MEDICALES POUR ENFANTS,,69
DDP_SPE_COD,48,CURES MEDICALES SPECIALISEES,,1386
DDP_SPE_COD,50,LONG SEJOUR,,2
DDP_SPE_COD,60,LUTTE CONTRE LES MALADIES MENTALES - TOXICOMANIES,,75525
DDP_SPE_COD,71,DISCIPLINE POUR AUTORISATION DE SUPPLEMENT,,29151
DDP_SPE_COD,72,DISCIPLINE POUR AUTORISATION DE SUPPLEMENT,,497
DDP_SPE_COD,81,"EDUCATION SPECIALE ET PROFESSIONNELLE POUR DEFICIENTS MENTAUX, CARACTERIELS, POLYHANDICAPES ET AUTRES",,264
DDP_SPE_COD,82,EDUCATION SPECIALE POUR DEFICIENTS MOTEURS,,149
DDP_SPE_COD,83,EDUCATION SPECIALE POUR DEFICIENTS SENSORIELS,,1704
DDP_SPE_COD,85,PRESTATIONS MEDICO-PEDAGOGIQUES,,1127
DDP_SPE_COD,91,"REINSERTION, REEDUCATION PROFESSIONNELLE ET PREORIENTATION",,269
DDP_SPE_COD,92,ACCUEIL SPECIALISE,,7389
DDP_SPE_COD,93,AUTRES PRESTATIONS MEDICO-SOCIALES POUR ADULTES HANDICAPES,,54
DDP_SPE_COD,101,PRESTATIONS SANITAIRES AUX PERSONNES AGEES EN ETABLISSEMENT D HEBERGEMENT,,22
DDP_SPE_COD,121,INDIFFERENCIEES,,19138362
DRG_AFF_NAT,11,Assuré,,4708023
DRG_AFF_NAT,12,Adresse Provisoire,,11264
DRG_AFF_NAT,13,Conjoint divorcé,,1
DRG_AFF_NAT,14,Conjoint séparé,,113
DRG_AFF_NAT,15,Procuration,,1130
DRG_AFF_NAT,16,Tutelle,,138243
DRG_AFF_NAT,17,Veuvage,,32584
DRG_AFF_NAT,19,Enfant,,139
DRG_AFF_NAT,21,Autre ayant droit,,16
DRG_AFF_NAT,22,concubin,,35
DRG_AFF_NAT,25,Bénéficaire Pacsé,,24
DRG_AFF_NAT,31,Correspondant d'entreprise,,5845
DRG_AFF_NAT,32,Mutuelle,,17
DRG_AFF_NAT,33,Subrogation,,159349
DRG_AFF_NAT,34,Titre Médecin,,2
DRG_AFF_NAT,35,Tiers Payant,,14117648
DRG_AFF_NAT,37,Subrogation multiple,,21
DRG_AFF_NAT,38,TP RO + OC C2S,,28809
DRG_AFF_NAT,99,VALEUR INCONNUE,,15827773
ETE_CAT_SNDS,1102,CENTRES HOSPITALIERS,,1995987
ETE_CAT_SNDS,1104,AUTRES CENTRES HOSPITALIERS SPECIALISES,,142638
ETE_CAT_SNDS,1107,"CENTRES DE MOYEN SEJOUR POUR CONVALESCENCE, CURE, READAPTATION OU TRAITEMENT DES MALADIES MENTALES",,142879
ETE_CAT_SNDS,1110,AUTRES ETABLISSEMENTS DE SOINS AIGUS (PSYCHIATRIE EXCLUE),,1757727
ETE_CAT_SNDS,1111,AUTRES ETABLISSEMENTS DE LUTTE CONTRE LES MALADIES MENTALES,,98184
ETE_CAT_SNDS,1112,ETABLISSEMENTS  D  ENFANTS A CARACTERE SANITAIRE,,9
ETE_CAT_SNDS,1201,TRAITEMENT ET SOINS A DOMICILE,,7365
ETE_CAT_SNDS,1205,AUTRES ETABLISSEMENTS RELEVANT DE LA LOI HOSPITALIERE,,23401
ETE_CAT_SNDS,2100,CABINETS LIBERAUX (SCANNER ET IRMN),,156089
ETE_CAT_SNDS,2103,AUTRES STRUCTURES D'EXERCICE LIBERAL,,1531
ETE_CAT_SNDS,2201,Dispensaires ou Centres de Soins,,12985
ETE_CAT_SNDS,2202,ETABLISSEMENTS DE PMI ET DE PLANIFICATION FAMILIALE,,36096
ETE_CAT_SNDS,2206,CENTRES DE SANTE,,1355898
ETE_CAT_SNDS,3401,TRANSFUSION SANGUINE,,5507
ETE_CAT_SNDS,3403,STRUCTURES ET FILIERES DE SOINS SOUBIE,,145
ETE_CAT_SNDS,4101,ETABLISSEMENTS  EDUCATION SPECIALE POUR DEFICIENTS MENTAUX ET POLYHANDICAPES,,1915
ETE_CAT_SNDS,4102,ETABLISSEMENTS EDUCATION SPECIALE POUR ENFANTS ATTEINTS DE TROUBLE DE LA CONDUITE ET DU COMPORTEMENT,,137
ETE_CAT_SNDS,4103,ETABLISSEMENTS  EDUCATION SPECIALE POUR HANDICAPES MOTEURS,,177
ETE_CAT_SNDS,4104,ETABLISSEMENTS  EDUCATION SPECIALE POUR DEFICIENTS SENSORIELS,,31
ETE_CAT_SNDS,4105,ETABLISSEMENTS ET SERVICES D  HEBERGEMENT POUR HANDICAPES,,34
ETE_CAT_SNDS,4301,ETABLISSEMENTS ET SERVICES POUR ADULTES HANDICAPES,,8683
ETE_CAT_SNDS,4302,ETABLISSEMENTS ET SERVICES DE TRAVAIL PROTEGE POUR ADULTES HANDICAPES,,14
ETE_CAT_SNDS,4303,ETABLISSEMENTS ET SERVICES DE REINSERTION PROFESSIONNELLE POUR ADULTES HANDICAPES,,269
ETE_CAT_SNDS,4401,ETABLISSEMENT D HEBERGEMENT,,1792
ETE_CAT_SNDS,4402,SERVICES SANITAIRES DE MAINTIEN A DOMICILE,,20
ETE_CAT_SNDS,4501,ETABLISSEMENT DE L AIDE A L  ENFANCE,,1
ETE_CAT_SNDS,4604,AUTRES ETABLISSEMENTS D ACCUEIL,,4
ETE_CAT_SNDS,4605,ETABLISSEMENTS ET SERVICES MULTI- CLIENTELE,,4
ETE_CAT_SNDS,4606,CENTRE DE RESSOURCES,,2
ETE_CAT_SNDS,9999,VALEUR INCONNUE,,31435597
ETE_IND_TAA,1,TAA PUBLIQUE,,3584989
ETE_IND_TAA,9,VALEUR INCONNUE,,31433224
ETE_REG_COD,5,Régions et Départements d'outre-mer,,192996
ETE_REG_COD,11,Ile-de-France,,1443043
ETE_REG_COD,27,Bourgogne-Franche-Comté,,312498
ETE_REG_COD,28,Normandie,,405150
ETE_REG_COD,32,Hauts-de-France - Nord-Pas-de-Calais-Picardie,,566755
ETE_REG_COD,44,Grand Est,,676057
ETE_REG_COD,52,Pays de la Loire,,450531
ETE_REG_COD,53,Bretagne,,377178
ETE_REG_COD,75,Aquitaine-Limousin-Poitou-Charentes,,586862
ETE_REG_COD,76,Languedoc-Roussillon-Midi-Pyrénées,,698305
ETE_REG_COD,93,Provence-Alpes-Côte d'Azur et Corse,,666569
ETE_REG_COD,99,Inconnu,,31435502
ETE_TYP_SNDS,2,PSPH PRIVE A BUT NON LUCRATIF PARTICIPANT AU SERVICE PUBLIC HOSPITALIER,,509257
ETE_TYP_SNDS,3,EX PJP AYANT OPTE POUR LE BG,,48865
ETE_TYP_SNDS,4,PRIVE LUCRATIF,,1690131
ETE_TYP_SNDS,6,PRIVE NON LUCRATIF,,1317902
ETP_CAT_SNDS,1101,CENTRES HOSPITALIERS REGIONAUX,,4421450
ETP_CAT_SNDS,1102,CENTRES HOSPITALIERS,,5318145
ETP_CAT_SNDS,1103,CENTRES HOSPITALIERS SPECIALISES EN LUTTE MALADIES MENTALES,,517085
ETP_CAT_SNDS,1104,AUTRES CENTRES HOSPITALIERS SPECIALISES,,494499
ETP_CAT_SNDS,1106,HOPITAUX LOCAUX,,99729
ETP_CAT_SNDS,1109,CENTRES DE LONG SEJOUR,,26242
ETP_CAT_SNDS,1110,AUTRES ETABLISSEMENTS DE SOINS AIGUS (PSYCHIATRIE EXCLUE),,1987915
ETP_CAT_SNDS,1111,AUTRES ETABLISSEMENTS DE LUTTE CONTRE LES MALADIES MENTALES,,167671
ETP_CAT_SNDS,1112,ETABLISSEMENTS  D  ENFANTS A CARACTERE SANITAIRE,,85539
ETP_CAT_SNDS,1113,ETABLISSEMENTS DE LUTTE CONTRE L ALCOOLISME ET LES TOXICOMANIES,,2
ETP_CAT_SNDS,1114,CENTRE CONVENTIONNE SOINS SPECIALISES POUR TOXICOMANES,,143
ETP_CAT_SNDS,1201,TRAITEMENT ET SOINS A DOMICILE,,31127
ETP_CAT_SNDS,1203,DIALYSE AMBULATOIRE,,128263
ETP_CAT_SNDS,1204,URGENCE ET REANIMATION,,1
ETP_CAT_SNDS,2100,CABINETS LIBERAUX (SCANNER ET IRMN),,233764
ETP_CAT_SNDS,2103,AUTRES STRUCTURES D'EXERCICE LIBERAL,,20551
ETP_CAT_SNDS,2202,ETABLISSEMENTS DE PMI ET DE PLANIFICATION FAMILIALE,,150976
ETP_CAT_SNDS,2206,CENTRES DE SANTE,,2398636
ETP_CAT_SNDS,3403,STRUCTURES ET FILIERES DE SOINS SOUBIE,,1
ETP_CAT_SNDS,4101,ETABLISSEMENTS  EDUCATION SPECIALE POUR DEFICIENTS MENTAUX ET POLYHANDICAPES,,41925
ETP_CAT_SNDS,4102,ETABLISSEMENTS EDUCATION SPECIALE POUR ENFANTS ATTEINTS DE TROUBLE DE LA CONDUITE ET DU COMPORTEMENT,,8025
ETP_CAT_SNDS,4103,ETABLISSEMENTS  EDUCATION SPECIALE POUR HANDICAPES MOTEURS,,13131
ETP_CAT_SNDS,4104,ETABLISSEMENTS  EDUCATION SPECIALE POUR DEFICIENTS SENSORIELS,,3879
ETP_CAT_SNDS,4105,ETABLISSEMENTS ET SERVICES D  HEBERGEMENT POUR HANDICAPES,,1163
