ETP_REG_COD,libelle,nb_val_jan24
5,Régions et Départements d'outre-mer,507447
11,Ile-de-France,3505078
24,Centre-Val de Loire,720307
27,Bourgogne-Franche-Comté,877281
28,Normandie,955901
32,Hauts-de-France - Nord-Pas-de-Calais-Picardie,1401768
44,Grand Est,1658387
52,Pays de la Loire,1031469
53,Bretagne,960807
75,Aquitaine-Limousin-Poitou-Charentes,1411598
76,Languedoc-Roussillon-Midi-Pyrénées,1594956
84,Auvergne-Rhône-Alpes,1721879
93,Provence-Alpes-Côte d'Azur et Corse,1577133
99,Inconnu,20834165
