EXE_INS_REG,libelle,nb_val_jan24
5,Régions et Départements d'outre-mer,1198566
11,Ile-de-France,4084533
24,Centre-Val de Loire,1629986
27,Bourgogne-Franche-Comté,1691748
28,Normandie,1811929
32,Hauts-de-France - Nord-Pas-de-Calais-Picardie,2523189
44,Grand Est,2979258
52,Pays de la Loire,1899504
53,Bretagne,1724615
75,Aquitaine-Limousin-Poitou-Charentes,2762187
76,Languedoc-Roussillon-Midi-Pyrénées,3182453
84,Auvergne-Rhône-Alpes,3188861
93,Provence-Alpes-Côte d'Azur et Corse,3151703
99,Inconnu,6929644
