PRE_INS_REG,libelle,nb_val_jan24
5,Régions et Départements d'outre-mer,725736
11,Ile-de-France,2530512
24,Centre-Val de Loire,896049
27,Bourgogne-Franche-Comté,969827
28,Normandie,990506
32,Hauts-de-France - Nord-Pas-de-Calais-Picardie,1371795
44,Grand Est,1784853
52,Pays de la Loire,1106840
53,Bretagne,1161231
75,Aquitaine-Limousin-Poitou-Charentes,1662668
76,Languedoc-Roussillon-Midi-Pyrénées,1858869
84,Auvergne-Rhône-Alpes,1768553
93,Provence-Alpes-Côte d'Azur et Corse,1891712
99,Inconnu,20039025
