PRS_NAT,libelle,nb_val_jan24,detail
0,SANS OBJET,,
1039,TELECONSULTATION PEDIATRE 2-6 ANS,,TCK
1040,TELECONSULTATION PEDIATRE 0-2 ANS,,TCH
1041,CONSULT. PSYCHIATRE NEUROLOGUE,,CP
1042,CONSULTATION PEDIATRE 0-2 ANS,,CEH
1043,CONSULTATION PEDIATRE 2-6 ANS,,CEK
1044,CONSULTATION PEDIATRE 6 ANS ET +,,CEG
1045,EXAM PARENTAL GROSSESSE CO-PARENT,,EPG
1046,TELECONSULTATION SPECIALISTE,44363,TCS
1047,CONSULTATION PSYCHIATRE RAPIDE SUITE ORIENTATION SAS OU MTT,433,MCY
1048,CONSULTATION INIT MT ALD,11183,IMT
1049,SUPPL. PEDIATRIQUE URGENCE 2,952,PE2
1050,FORFAIT CONSULTATION URGENCE 0,158,FU0
1051,SUPPL. PEDIATRIQUE URGENCE 1,385,PE1
1052,REMU BIOSIMILAIRE,,BIO
1053,FORFAIT VSM,,VSA
1054,BILAN MRTC,73,BTC
1055,SUIVI MRTC,64,STC
1056,TELECONSULTATION GENERALISTE IVG,77,JC
1057,TELECONSULTATION SPECIALISTE IVG,2,JCS
1058,EXAMEN OBLIGATOIRE ENFANT COJ,104,COJ
1059,EXAMEN OBLIGATOIRE ENFANT COK,1060,COK
1060,MAJORATION GYNECO MEDICALE,8837,MGM
1061,MAJORATION PSY ENFANT,2285,MP
1062,CDE CONGE PARENTAL,38,RDC
1063,CDE CONGE MALADIE,,RDB
1064,CDE GARANTIE REVENU 1ERE ANNEE,43,RDA
1065,FORFAIT EFFECTEUR SAS,,PDE
1066,FORFAIT REGULATEUR SAS,96,PDR
1067,SUPPLEMENT URGENCE CCMU 3,12181,SU3
1068,SUPP. AVIS DE SPECIALISTE,2976,SAS
1069,SUPP. IMAGERIE EN COUPE,6028,SIC
1070,BIO MEDICALE CLASSE AGE 2,5262,SB2
1071,BIO MEDICALE CLASSE AGE 3,7612,SB3
1072,SUPP. NUIT MEDECIN URGENTISTE,9536,SUN
1073,SUPP DIMANCHE/FERIE -URGENTISTE,13441,SUF
1074,SUPP NUIT SPE/BIO/IMAGERIE,6064,SSN
1075,SUP DIMANCHE/FERIE SPE/BIO/IMAGE,4863,SSF
1076,CODE TRACEUR SAS,12674,SNP
1077,SUPPLEMENT URGENCE CCMU 2,5648,SU2
1078,SUPPLEMENT URGENCE BIOLOGIE,725,SUB
