Nom variable,Libellé,Catégorie,Commentaires,Modalités
AGE_BEN_SNDS,Tranche d'Age Bénéficiaire au moment des soins,BENEFICIAIRE,L’âge du bénéficiaire au moment des soins est calculé ainsi : (Année/Mois de début des soins) – (Année/Mois de naissance du bénéficiaire). Il est ensuite regroupé en tranche d’âge,->
ASU_NAT,Nature d'Assurance,PRESTATION,,->
ATT_NAT,Nature de l'Accident du Travail,PRESTATION,,->
BEN_CMU_TOP,"Top Bénéficiaire CMU-C<span style=""font-family: Arial;font-size: 13px;color: #FF0000;""> </span>",BENEFICIAIRE,"Jusqu'àu mois de mars 2021,vaut ‘1’ (=‘OUI’) si la prestation qui a fait l’objet du remboursement est prise en charge au titre de la CMU-Complémentaire ET si cette prestation n’est pas exonérée du ticket modérateur pour un autre motif (exemple : ALD) car ce dernier prime sur le TOP CMU-C pour le remboursement de la prestation. A partir d'avril 2021,vaut ‘1’ (=‘OUI’) si la prestation qui a fait l’objet du remboursement est prise en charge au titre de la C2S ET si cette prestation n’est pas exonérée du ticket modérateur pour un autre motif (exemple : ALD) car ce dernier prime sur la C2S pour le remboursement de la prestation.",->
BEN_QLT_COD,Qualité du Bénéficiaire,BENEFICIAIRE,,->
BEN_RES_REG,Région de Résidence du Bénéficiaire à partir de 2015 (tables A),BENEFICIAIRE,,->
BEN_RES_ZEAT,ZEAT de Résidence du Bénéficiaire  jusqu'à 2014 (tables P),BENEFICIAIRE,,->
BEN_SEX_COD,Sexe du Bénéficiaire,BENEFICIAIRE,,->
CPL_COD,Complément d'Acte,PRESTATION,"Uniquement des compléments d'actes Nuit, Férié, Urgences",->
CPT_ENV_TYP,Type d'Enveloppe,PRESTATION,"Le type d’enveloppe = 1 correspond aux dépenses de soins de ville. Il s’agit des honoraires et des prescriptions des professionnels de santé libéraux :
• Les honoraires et prescriptions des cabinets de ville;
• Les honoraires et prescriptions des cliniques privées;
• Les honoraires er prescriptions des centres de santé.

Le type d’enveloppe = 2 correspond aux versements aux établissements de santé publics, privés et médico-sociaux.
 
ONDAM (Objectif National des Dépenses d’Assurance Maladie) voté chaque année dans le cadre de la Loi de Financement de la Sécurité Sociale = Enveloppes 1 + 2.

Le type d’enveloppe = 3 correspond aux prestations légales Assurance Maladie hors enveloppe ONDAM.",->
DDP_SPE_COD,Discipline de Prestation Etb Exécutant,EXECUTANT,,->
DRG_AFF_NAT,Nature du Destinataire de Règlement affiné,PRESTATION,,->
ETE_CAT_SNDS,Catégorie Etb Exécutant,EXECUTANT,,->
ETE_IND_TAA,Indicateur TAA Privé/Public,PRESTATION,"La dimension « Indicateur TAA » permet de cibler les prestations en facturation directe à l’Assurance maladie : Actes et Consultations Externes. Pour les cibler, il faut prendre l'indicateur TAA public.",->
ETE_REG_COD,Région d'Implantation Etb Exécutant à partir de 2015 (tables A),EXECUTANT,,->
ETE_TYP_SNDS,Type Etb Exécutant,EXECUTANT,,->
ETE_ZEAT_COD,ZEAT d'Implantation Etb Exécutant  jusqu'à 2014 (tables P),EXECUTANT,,->
ETP_CAT_SNDS,Catégorie Etb Prescripteur,PRESCRIPTEUR,,->
ETP_REG_COD,Région d'Implantation Etb Prescripteur à partir de 2015 (tables A),PRESCRIPTEUR,,->
ETP_ZEAT_COD,ZEAT d'Implantation Etb Prescripteur  jusqu'à 2014 (tables P),PRESCRIPTEUR,,->
EXE_INS_REG,Région du PS Exécutant à partir de 2015 (tables A),EXECUTANT,Informe de la région d’exécution de la prestation par un professionnel de santé dans un cabinet qu’il soit principal ou secondaire.,->
