dimension,cle,libelle,detail
AGE_BEN_SNDS,0,0-19 ANS,
AGE_BEN_SNDS,20,20 - 29 ANS,
AGE_BEN_SNDS,30,30 - 39 ANS,
AGE_BEN_SNDS,40,40 - 49 ANS,
AGE_BEN_SNDS,50,50 - 59 ANS,
AGE_BEN_SNDS,60,60 - 69 ANS,
AGE_BEN_SNDS,70,70 - 79 ANS,
AGE_BEN_SNDS,80,80 ANS ET +,
AGE_BEN_SNDS,99,AGE INCONNU,
ASU_NAT,0,SANS OBJET,
ASU_NAT,10,MALADIE,
ASU_NAT,11,"MALADIE COURS NAVIGATION > 6 MOIS",
ASU_NAT,12,"MALADIE COURS NAVIGATION < 6 MOIS",
ASU_NAT,22,SOINS AUX INVALIDES DE GUERRE (CNMSS),
ASU_NAT,30,MATERNITE,
ASU_NAT,40,AT ET MP,
ASU_NAT,50,DECES,
ASU_NAT,70,PRESTATIONS SUPPLEMENTAIRES,
ASU_NAT,80,INVALIDITE,
ASU_NAT,90,PREVENTION MALADIE,
ASU_NAT,99,VALEUR INCONNUE,
ATT_NAT,0,SANS OBJET,
ATT_NAT,1,ACCIDENT DU TRAVAIL,
ATT_NAT,2,MALADIE PROFESSIONNELLE,
ATT_NAT,3,ACCIDENT DU TRAJET,
ATT_NAT,9,VALEUR INCONNUE,
BEN_CMU_TOP,0,Non bénéficiaire de la C2S,Non bénéficiaire de la CMU C
BEN_CMU_TOP,1,Bénéficiaire de la C2S,Bénéficiaire de la CMU C
BEN_CMU_TOP,2,Sans Objet,Sans Objet
BEN_CMU_TOP,9,VALEUR INCONNUE,VALEUR INCONNUE
BEN_QLT_COD,0,Sans objet (RSI),
BEN_QLT_COD,1,ASSURE,
BEN_QLT_COD,2,CONJOINT ET ASSIMILE,
BEN_QLT_COD,3,ENFANT,
BEN_QLT_COD,4,AUTRE AYANT-DROIT,
BEN_QLT_COD,9,VALEUR INCONNUE,
BEN_RES_REG,5,Régions et Départements d'outre-mer ,
BEN_RES_REG,11,Ile-de-France,
BEN_RES_REG,24,Centre-Val de Loire,
BEN_RES_REG,27,Bourgogne-Franche-Comté,
BEN_RES_REG,28,Normandie,
BEN_RES_REG,32,Hauts-de-France - Nord-Pas-de-Calais-Picardie,
BEN_RES_REG,44,Grand Est,
BEN_RES_REG,52,Pays de la Loire,
BEN_RES_REG,53,Bretagne,
BEN_RES_REG,75,Aquitaine-Limousin-Poitou-Charentes,
BEN_RES_REG,76,Languedoc-Roussillon-Midi-Pyrénées,
BEN_RES_REG,84,Auvergne-Rhône-Alpes,
BEN_RES_REG,93,Provence-Alpes-Côte d'Azur et Corse,
BEN_RES_REG,99,Inconnu,
BEN_RES_ZEAT,0,Inconnu,
BEN_RES_ZEAT,1,Région Parisienne (11),
BEN_RES_ZEAT,2,"Bassin Parisien (21,22,23,24,25,26)",
BEN_RES_ZEAT,3,Nord (31),
